customer_id,country,city,join_date,segment,age_group,acquisition_channel
C00042,Netherlands,Utrecht,2023-06-21,Regular,55+,Organic
C00043,Germany,Hamburg,2023-04-29,Regular,25-34,Paid Search
C00044,Germany,Bremen,2023-07-28,Regular,45-54,Email
C00045,Germany,Hamburg,2023-08-04,Regular,55+,Organic
C00046,France,Lyon,2023-01-04,Churned,35-44,Email
C00047,France,Marseille,2023-10-07,VIP,25-34,Email
C00048,Netherlands,Utrecht,2023-08-12,Regular,45-54,Social Media
C00049,France,Marseille,2023-03-26,VIP,25-34,Referral
C00050,Germany,Bremen,2023-10-16,Regular,18-24,Email
C00051,Germany,Stuttgart,2023-08-25,New,35-44,Email
C00052,Switzerland,Zurich,2023-08-21,Regular,45-54,Social Media
C00053,France,Lyon,2023-02-11,Regular,55+,Organic
C00054,Switzerland,Zurich,2023-02-05,VIP,18-24,Organic
C00055,Netherlands,Rotterdam,2023-01-11,Regular,25-34,Paid Search
C00056,Belgium,Ghent,2023-02-28,Regular,25-34,Email
C00057,Austria,Graz,2023-03-27,Regular,18-24,Paid Search
C00058,Austria,Vienna,2023-10-24,New,35-44,Referral
C00059,France,Lyon,2023-04-12,New,25-34,Organic
C00060,Austria,Salzburg,2023-03-03,VIP,55+,Organic
C00061,Switzerland,Basel,2023-08-08,Regular,18-24,Referral
C00062,Switzerland,Zurich,2023-08-04,VIP,18-24,Email
C00063,Switzerland,Basel,2023-08-24,VIP,45-54,Paid Search
C00064,Austria,Salzburg,2023-10-03,VIP,45-54,Email
C00065,Austria,Graz,2023-05-06,VIP,18-24,Social Media
C00066,Belgium,Brussels,2023-08-26,Regular,45-54,Social Media
C00067,Germany,Bremen,2023-06-16,New,25-34,Social Media
C00068,Austria,Graz,2023-05-24,Churned,35-44,Referral
C00069,Germany,Frankfurt,2023-04-08,New,45-54,Email
C00070,Netherlands,Eindhoven,2023-09-09,Regular,18-24,Organic
C00071,Austria,Vienna,2023-07-27,Regular,35-44,Referral
C00072,Switzerland,Geneva,2023-10-11,Regular,45-54,Referral
C00073,Switzerland,Geneva,2023-08-21,Regular,35-44,Paid Search
C00074,Germany,Cologne,2023-04-09,Regular,55+,Paid Search
C00075,Netherlands,Rotterdam,2023-09-05,Regular,55+,Referral
C00076,Austria,Vienna,2023-04-10,Regular,35-44,Paid Search
C00077,Austria,Vienna,2023-10-01,New,18-24,Organic
C00078,Austria,Salzburg,2023-03-06,Regular,45-54,Organic
C00079,Germany,Frankfurt,2023-05-26,Regular,45-54,Social Media
C00080,Germany,Berlin,2023-05-10,Churned,45-54,Organic
C00081,Germany,Bremen,2023-09-09,New,18-24,Paid Search
C00082,Germany,Stuttgart,2023-10-16,Churned,18-24,Paid Search
C00083,Germany,Frankfurt,2023-08-02,Regular,55+,Paid Search
C00084,France,Lyon,2023-08-15,Regular,55+,Email
C00085,Austria,Salzburg,2023-01-31,Regular,18-24,Paid Search
C00086,Netherlands,Utrecht,2023-02-11,New,25-34,Referral
C00087,Germany,Hamburg,2023-01-02,Regular,55+,Email
C00088,Austria,Vienna,2023-04-29,Regular,35-44,Email
C00089,Germany,Cologne,2023-04-30,Churned,55+,Paid Search
C00090,France,Paris,2023-10-06,New,25-34,Social Media
C00091,Germany,Berlin,2023-01-31,New,35-44,Referral
C00092,Austria,Graz,2023-03-05,Regular,35-44,Email
C00093,Austria,Salzburg,2023-10-04,Regular,18-24,Referral
C00094,Germany,Bremen,2023-06-15,Regular,18-24,Organic
C00095,Netherlands,Amsterdam,2023-05-18,Regular,25-34,Email
C00096,Belgium,Antwerp,2023-04-03,Churned,45-54,Email
C00097,Germany,Bremen,2023-06-28,Regular,35-44,Organic
C00098,Germany,Munich,2023-07-30,Regular,35-44,Email
C00099,Germany,Bremen,2023-02-15,Regular,35-44,Organic
C00100,France,Marseille,2023-01-01,Regular,55+,Email
C00101,France,Paris,2023-04-07,Regular,55+,Email
C00102,Belgium,Brussels,2023-04-15,Regular,25-34,Social Media
C00103,Belgium,Ghent,2023-09-06,New,55+,Paid Search
C00104,Germany,Munich,2023-10-10,New,45-54,Organic
C00105,Netherlands,Amsterdam,2023-08-25,Churned,25-34,Email
C00106,Austria,Salzburg,2023-05-20,Regular,45-54,Email
C00107,Netherlands,Eindhoven,2023-10-10,New,25-34,Referral
C00108,Germany,Stuttgart,2023-02-05,Regular,45-54,Social Media
C00109,Austria,Vienna,2023-05-25,VIP,55+,Referral
C00110,Belgium,Brussels,2023-08-17,Regular,35-44,Social Media
C00111,France,Lyon,2023-06-14,Churned,25-34,Referral
C00112,France,Paris,2023-07-30,New,45-54,Email
C00113,France,Marseille,2023-03-19,Regular,18-24,Paid Search
C00114,Switzerland,Zurich,2023-08-14,New,45-54,Organic
C00115,Germany,Bremen,2023-03-21,New,35-44,Social Media
C00116,France,Marseille,2023-02-11,Churned,55+,Email
C00117,Switzerland,Basel,2023-09-07,Churned,18-24,Referral
C00118,Germany,Hamburg,2023-05-28,Churned,18-24,Email
C00119,Germany,Stuttgart,2023-02-21,Regular,35-44,Organic
C00120,Germany,Munich,2023-01-29,Regular,35-44,Email
C00121,Germany,Hamburg,2023-09-29,Regular,25-34,Paid Search
C00122,Germany,Berlin,2023-07-15,Regular,25-34,Email
C00123,Germany,Hamburg,2023-08-25,Regular,45-54,Social Media
C00124,Germany,Stuttgart,2023-08-27,Churned,55+,Paid Search
C00125,Germany,Bremen,2023-06-26,Churned,35-44,Email
C00126,Austria,Graz,2023-06-04,New,45-54,Email
C00127,Germany,Hamburg,2023-07-15,Regular,55+,Social Media
C00128,Austria,Vienna,2023-07-22,Regular,55+,Organic
C00129,Belgium,Antwerp,2023-04-28,Regular,35-44,Paid Search
C00130,Netherlands,Utrecht,2023-03-12,Regular,18-24,Social Media
C00131,Belgium,Brussels,2023-10-24,Regular,25-34,Organic
C00132,Austria,Graz,2023-08-01,New,25-34,Referral
C00133,Switzerland,Basel,2023-09-14,Churned,25-34,Social Media
C00134,Belgium,Antwerp,2023-06-23,VIP,45-54,Organic
C00135,Germany,Stuttgart,2023-04-26,Churned,45-54,Referral
C00136,Switzerland,Zurich,2023-07-22,New,55+,Organic
C00137,Belgium,Antwerp,2023-05-15,Regular,35-44,Organic
C00138,Netherlands,Eindhoven,2023-01-13,Regular,55+,Social Media
C00139,Netherlands,Amsterdam,2023-08-26,Churned,35-44,Email
C00140,Germany,Hamburg,2023-01-24,Churned,35-44,Email
C00141,Germany,Berlin,2023-05-01,Churned,25-34,Email
C00142,Belgium,Antwerp,2023-10-04,Regular,25-34,Email
C00143,Germany,Stuttgart,2023-09-08,Regular,35-44,Organic
C00144,Switzerland,Zurich,2023-08-16,Regular,25-34,Social Media
C00145,Germany,Cologne,2023-07-08,Regular,35-44,Organic
C00146,France,Lyon,2023-04-08,Churned,45-54,Organic
C00147,Netherlands,Amsterdam,2023-01-26,VIP,25-34,Paid Search
C00148,Netherlands,Amsterdam,2023-10-11,New,25-34,Paid Search
C00149,Switzerland,Zurich,2023-01-02,Regular,25-34,Paid Search
C00150,Austria,Vienna,2023-02-26,Regular,18-24,Paid Search
C00151,Germany,Munich,2023-05-02,Regular,18-24,Paid Search
C00152,Austria,Vienna,2023-03-06,VIP,55+,Organic
C00153,Germany,Bremen,2023-08-18,VIP,55+,Referral
C00154,Germany,Bremen,2023-09-15,New,55+,Organic
C00155,Austria,Graz,2023-01-16,New,45-54,Email
C00156,France,Marseille,2023-02-25,Regular,45-54,Organic
C00157,Germany,Munich,2023-03-17,New,35-44,Referral
C00158,Switzerland,Geneva,2023-09-29,Regular,55+,Referral
C00159,France,Paris,2023-02-28,Churned,55+,Paid Search
C00160,France,Lyon,2023-04-27,Regular,45-54,Email
C00161,France,Marseille,2023-02-18,Regular,35-44,Social Media
C00162,Switzerland,Zurich,2023-08-31,New,18-24,Organic
C00163,France,Paris,2023-07-10,VIP,55+,Organic
C00164,Switzerland,Basel,2023-03-04,Regular,45-54,Organic
C00165,Austria,Salzburg,2023-06-09,Regular,55+,Referral
C00166,Netherlands,Rotterdam,2023-09-04,New,18-24,Social Media
C00167,Switzerland,Zurich,2023-05-23,Regular,45-54,Referral
C00168,Germany,Frankfurt,2023-05-17,New,35-44,Social Media
C00169,Switzerland,Geneva,2023-01-04,New,25-34,Referral
C00170,France,Paris,2023-03-14,VIP,18-24,Organic
C00171,Netherlands,Eindhoven,2023-08-03,Regular,25-34,Social Media
C00172,Austria,Salzburg,2023-06-16,VIP,55+,Referral
C00173,Germany,Berlin,2023-03-21,New,55+,Organic
C00174,Germany,Munich,2023-08-15,Regular,45-54,Referral
C00175,Belgium,Antwerp,2023-05-20,New,55+,Organic
C00176,Switzerland,Geneva,2023-02-26,Regular,55+,Email
C00177,Austria,Vienna,2023-04-23,Regular,55+,Organic
C00178,Germany,Hamburg,2023-06-04,Churned,25-34,Social Media
C00179,Austria,Graz,2023-03-03,New,45-54,Paid Search
C00180,Germany,Bremen,2023-09-30,VIP,55+,Referral
C00181,Switzerland,Zurich,2023-07-23,Churned,18-24,Email
C00182,Germany,Bremen,2023-02-09,Churned,55+,Email
C00183,France,Marseille,2023-08-02,Regular,45-54,Organic
C00184,Switzerland,Zurich,2023-08-24,VIP,35-44,Organic
C00185,France,Paris,2023-05-05,Regular,45-54,Referral
C00186,Germany,Bremen,2023-06-08,VIP,25-34,Social Media
C00187,Germany,Berlin,2023-09-19,Regular,55+,Referral
C00188,Netherlands,Utrecht,2023-06-29,VIP,25-34,Paid Search
C00189,Germany,Hamburg,2023-05-12,New,55+,Paid Search
C00190,Germany,Hamburg,2023-09-10,Regular,55+,Referral
C00191,Belgium,Ghent,2023-10-17,Regular,55+,Social Media
C00192,Switzerland,Zurich,2023-08-14,New,45-54,Social Media
C00193,Austria,Salzburg,2023-01-29,Regular,18-24,Social Media
C00194,Belgium,Antwerp,2023-01-20,New,35-44,Organic
C00195,Germany,Frankfurt,2023-09-17,Regular,55+,Referral
C00196,Germany,Bremen,2023-10-20,Regular,35-44,Referral
C00197,Belgium,Ghent,2023-03-19,Churned,45-54,Organic
C00198,Switzerland,Basel,2023-02-13,Regular,25-34,Organic
C00199,Netherlands,Eindhoven,2023-08-13,Regular,55+,Paid Search
C00200,Switzerland,Geneva,2023-05-25,Regular,35-44,Referral
C00201,Germany,Stuttgart,2023-06-21,New,18-24,Referral
C00202,France,Lyon,2023-05-10,VIP,55+,Paid Search
C00203,Switzerland,Zurich,2023-10-26,Regular,35-44,Social Media
C00204,France,Paris,2023-02-13,Regular,45-54,Social Media
C00205,Germany,Cologne,2023-09-27,New,45-54,Referral
C00206,Switzerland,Zurich,2023-07-05,Regular,25-34,Social Media
C00207,Belgium,Brussels,2023-04-26,Churned,25-34,Organic
C00208,Austria,Vienna,2023-09-17,VIP,55+,Organic
C00209,Switzerland,Basel,2023-03-09,Regular,25-34,Paid Search
C00210,Germany,Stuttgart,2023-03-26,VIP,18-24,Email
C00211,Switzerland,Basel,2023-05-02,Churned,55+,Social Media
C00212,Belgium,Brussels,2023-10-01,New,45-54,Paid Search
C00213,Switzerland,Basel,2023-10-20,Churned,45-54,Social Media
C00214,France,Marseille,2023-09-28,Regular,25-34,Paid Search
C00215,Germany,Stuttgart,2023-05-09,New,45-54,Social Media
C00216,Germany,Cologne,2023-09-22,Churned,35-44,Organic
C00217,Germany,Munich,2023-08-19,Churned,25-34,Email
C00218,Germany,Hamburg,2023-08-19,Churned,18-24,Email
C00219,Germany,Bremen,2023-09-15,Regular,45-54,Organic
C00220,Switzerland,Zurich,2023-01-15,Regular,18-24,Social Media
C00221,Germany,Hamburg,2023-01-20,Regular,45-54,Paid Search
C00222,Belgium,Antwerp,2023-01-03,Churned,18-24,Social Media
C00223,Netherlands,Rotterdam,2023-10-08,Churned,55+,Referral
C00224,France,Paris,2023-05-28,New,18-24,Organic
C00225,Netherlands,Eindhoven,2023-08-23,New,45-54,Referral
C00226,Germany,Cologne,2023-09-21,Regular,25-34,Social Media
C00227,France,Paris,2023-06-30,New,45-54,Paid Search
C00228,Germany,Frankfurt,2023-07-04,New,55+,Referral
C00229,Germany,Bremen,2023-08-29,New,45-54,Social Media
C00230,Austria,Salzburg,2023-01-09,Regular,18-24,Social Media
C00231,Netherlands,Amsterdam,2023-10-25,VIP,35-44,Paid Search
C00232,Germany,Munich,2023-10-07,Regular,25-34,Email
C00233,Belgium,Ghent,2023-04-04,VIP,18-24,Email
C00234,Germany,Munich,2023-04-14,New,25-34,Organic
C00235,Switzerland,Geneva,2023-09-21,Regular,55+,Email
C00236,Austria,Vienna,2023-04-08,Regular,18-24,Social Media
C00237,Austria,Vienna,2023-07-08,Regular,45-54,Email
C00238,France,Lyon,2023-04-06,Regular,45-54,Social Media
C00239,Austria,Vienna,2023-08-06,New,55+,Paid Search
C00240,Austria,Graz,2023-02-22,New,35-44,Social Media
C00241,Belgium,Ghent,2023-08-07,New,45-54,Social Media
C00242,Belgium,Brussels,2023-06-30,Regular,45-54,Social Media
C00243,Germany,Berlin,2023-07-27,Regular,25-34,Organic
C00244,Germany,Stuttgart,2023-08-13,New,18-24,Paid Search
C00245,Switzerland,Geneva,2023-07-16,Churned,18-24,Referral
C00246,Germany,Cologne,2023-08-19,Churned,35-44,Email
C00247,Germany,Frankfurt,2023-03-12,Regular,45-54,Social Media
C00248,Austria,Vienna,2023-02-28,New,25-34,Email
C00249,France,Marseille,2023-03-02,Regular,35-44,Email
C00250,Netherlands,Utrecht,2023-09-09,New,25-34,Organic
C00251,Belgium,Brussels,2023-08-16,Churned,35-44,Social Media
C00252,Germany,Frankfurt,2023-10-05,Regular,35-44,Paid Search
C00253,Germany,Stuttgart,2023-07-05,Regular,18-24,Paid Search
C00254,Germany,Hamburg,2023-09-10,New,55+,Referral
C00255,Switzerland,Geneva,2023-10-10,New,18-24,Organic
C00256,Austria,Graz,2023-09-03,Regular,45-54,Referral
C00257,Germany,Hamburg,2023-06-12,Regular,45-54,Email
C00258,Switzerland,Zurich,2023-10-10,Regular,25-34,Paid Search
C00259,France,Marseille,2023-01-29,VIP,55+,Paid Search
C00260,Austria,Vienna,2023-03-24,Regular,25-34,Social Media
C00261,Austria,Vienna,2023-05-09,New,55+,Social Media
C00262,Germany,Cologne,2023-06-05,Regular,18-24,Referral
C00263,Germany,Frankfurt,2023-10-25,New,55+,Referral
C00264,Switzerland,Basel,2023-01-22,VIP,18-24,Organic
C00265,Germany,Cologne,2023-10-23,Regular,25-34,Referral
C00266,France,Marseille,2023-01-16,Regular,55+,Social Media
C00267,Austria,Graz,2023-05-06,VIP,45-54,Social Media
C00268,Belgium,Brussels,2023-01-31,New,45-54,Email
C00269,Belgium,Brussels,2023-06-24,Regular,35-44,Social Media
C00270,Switzerland,Geneva,2023-03-08,VIP,55+,Referral
C00271,Germany,Munich,2023-05-04,Regular,35-44,Email
C00272,Netherlands,Rotterdam,2023-02-19,New,45-54,Referral
C00273,France,Paris,2023-03-23,VIP,55+,Social Media
C00274,Netherlands,Rotterdam,2023-09-13,Churned,45-54,Email
C00275,Austria,Graz,2023-01-12,New,45-54,Referral
C00276,Belgium,Brussels,2023-04-21,Regular,18-24,Organic
C00277,Austria,Graz,2023-08-29,Regular,18-24,Organic
C00278,France,Paris,2023-05-16,VIP,45-54,Social Media
C00279,Germany,Bremen,2023-01-27,Regular,25-34,Social Media
C00280,Austria,Vienna,2023-07-17,Regular,55+,Social Media
C00281,Germany,Hamburg,2023-02-19,Regular,35-44,Referral
C00282,Switzerland,Zurich,2023-04-12,Regular,45-54,Referral
C00283,Germany,Berlin,2023-01-20,New,35-44,Email
C00284,Belgium,Brussels,2023-09-21,New,55+,Social Media
C00285,Germany,Bremen,2023-06-03,Regular,55+,Referral
C00286,Belgium,Ghent,2023-10-16,Regular,18-24,Social Media
C00287,Switzerland,Basel,2023-02-26,Churned,55+,Social Media
C00288,Germany,Frankfurt,2023-08-31,Regular,55+,Referral
C00289,Netherlands,Amsterdam,2023-10-26,Regular,55+,Referral
C00290,France,Paris,2023-05-05,New,18-24,Paid Search
C00291,Germany,Bremen,2023-06-10,Regular,45-54,Paid Search
C00292,France,Marseille,2023-08-30,Churned,18-24,Paid Search
C00293,Netherlands,Utrecht,2023-09-02,Regular,35-44,Paid Search
C00294,Belgium,Ghent,2023-06-25,Regular,35-44,Referral
C00295,Belgium,Brussels,2023-05-07,Regular,35-44,Paid Search
C00296,Austria,Graz,2023-04-17,Regular,45-54,Social Media
C00297,Belgium,Antwerp,2023-10-14,Churned,35-44,Social Media
C00298,Germany,Frankfurt,2023-10-06,Regular,45-54,Social Media
C00299,Germany,Munich,2023-01-22,Regular,18-24,Social Media
C00300,Belgium,Ghent,2023-05-12,VIP,25-34,Paid Search
C00301,Austria,Salzburg,2023-05-20,New,55+,Referral
C00302,Netherlands,Rotterdam,2023-01-26,Regular,55+,Paid Search
C00303,Netherlands,Amsterdam,2023-02-21,Regular,45-54,Organic
C00304,Germany,Berlin,2023-10-09,Churned,25-34,Email
C00305,Belgium,Antwerp,2023-04-13,VIP,35-44,Social Media
C00306,Austria,Salzburg,2023-01-31,Churned,18-24,Referral
C00307,Netherlands,Amsterdam,2023-03-31,Regular,25-34,Organic
C00308,France,Lyon,2023-04-06,Churned,35-44,Organic
C00309,Germany,Munich,2023-10-18,Regular,35-44,Social Media
C00310,Belgium,Ghent,2023-10-06,Regular,25-34,Referral
C00311,Belgium,Antwerp,2023-04-09,VIP,35-44,Paid Search
C00312,Belgium,Ghent,2023-05-12,VIP,18-24,Social Media
C00313,Austria,Salzburg,2023-04-09,New,45-54,Email
C00314,Switzerland,Zurich,2023-07-25,Regular,25-34,Paid Search
C00315,Belgium,Antwerp,2023-05-08,New,45-54,Paid Search
C00316,Belgium,Antwerp,2023-06-18,Regular,55+,Organic
C00317,Austria,Salzburg,2023-07-04,Regular,18-24,Organic
C00318,Belgium,Antwerp,2023-03-23,Regular,55+,Social Media
C00319,Germany,Cologne,2023-06-01,Regular,25-34,Paid Search
C00320,Germany,Bremen,2023-03-20,Regular,55+,Social Media
C00321,France,Marseille,2023-10-09,Churned,55+,Paid Search
C00322,Netherlands,Amsterdam,2023-09-27,Regular,35-44,Organic
C00323,Germany,Berlin,2023-10-08,Churned,25-34,Referral
C00324,Germany,Hamburg,2023-06-17,Churned,45-54,Organic
C00325,Netherlands,Eindhoven,2023-02-16,Churned,45-54,Organic
C00326,Belgium,Brussels,2023-09-20,Regular,55+,Organic
C00327,Belgium,Ghent,2023-06-07,VIP,45-54,Social Media
C00328,Germany,Cologne,2023-04-22,Regular,18-24,Email
C00329,Switzerland,Basel,2023-02-02,Regular,18-24,Organic
C00330,Belgium,Brussels,2023-05-27,Regular,25-34,Email
C00331,Switzerland,Geneva,2023-08-18,Churned,45-54,Email
C00332,Germany,Cologne,2023-10-04,New,35-44,Organic
C00333,Germany,Frankfurt,2023-07-21,Regular,25-34,Organic
C00334,Germany,Munich,2023-08-26,Regular,55+,Email
C00335,France,Paris,2023-05-07,Regular,25-34,Social Media
C00336,Netherlands,Amsterdam,2023-01-17,VIP,45-54,Referral
C00337,Germany,Hamburg,2023-04-16,New,55+,Organic
C00338,Belgium,Ghent,2023-01-25,New,18-24,Email
C00339,Belgium,Brussels,2023-10-04,New,18-24,Paid Search
C00340,Austria,Vienna,2023-10-22,Regular,55+,Social Media
C00341,Netherlands,Utrecht,2023-03-15,Churned,55+,Paid Search
C00342,France,Lyon,2023-05-21,New,55+,Paid Search
C00343,France,Marseille,2023-09-11,New,35-44,Email
C00344,Switzerland,Basel,2023-08-02,Regular,35-44,Email
C00345,Germany,Stuttgart,2023-10-03,Regular,25-34,Social Media
C00346,Germany,Stuttgart,2023-08-26,Churned,55+,Email
C00347,France,Marseille,2023-09-29,New,25-34,Social Media
C00348,Netherlands,Utrecht,2023-02-10,Churned,35-44,Organic
C00349,Netherlands,Amsterdam,2023-05-18,Regular,55+,Referral
C00350,Germany,Stuttgart,2023-02-07,New,55+,Referral
C00351,Netherlands,Eindhoven,2023-04-17,Churned,35-44,Social Media
C00352,Germany,Hamburg,2023-04-08,Churned,18-24,Email
C00353,Netherlands,Rotterdam,2023-07-23,Churned,55+,Social Media
C00354,Austria,Graz,2023-08-27,Regular,35-44,Social Media
C00355,Austria,Graz,2023-09-20,Churned,45-54,Organic
C00356,Belgium,Antwerp,2023-04-15,Regular,45-54,Organic
C00357,Netherlands,Rotterdam,2023-01-09,Regular,55+,Referral
C00358,France,Lyon,2023-03-20,New,25-34,Email
C00359,Netherlands,Eindhoven,2023-10-09,Regular,35-44,Social Media
C00360,Belgium,Ghent,2023-09-09,Regular,35-44,Paid Search
C00361,Germany,Cologne,2023-10-07,Regular,55+,Organic
C00362,Germany,Stuttgart,2023-02-08,Churned,18-24,Organic
C00363,France,Paris,2023-04-29,New,25-34,Organic
C00364,Netherlands,Eindhoven,2023-07-11,New,55+,Email
C00365,Belgium,Brussels,2023-01-04,Regular,45-54,Organic
C00366,Germany,Frankfurt,2023-05-21,Regular,35-44,Organic
C00367,France,Paris,2023-02-24,Churned,55+,Paid Search
C00368,Netherlands,Rotterdam,2023-09-27,Regular,35-44,Social Media
C00369,France,Paris,2023-07-11,Churned,45-54,Referral
C00370,Netherlands,Rotterdam,2023-06-03,Regular,18-24,Organic
C00371,Germany,Bremen,2023-07-14,Regular,45-54,Organic
C00372,Germany,Cologne,2023-03-29,New,45-54,Social Media
C00373,Germany,Frankfurt,2023-01-22,New,55+,Email
C00374,Austria,Vienna,2023-02-08,Regular,35-44,Referral
C00375,Germany,Hamburg,2023-06-11,New,25-34,Referral
C00376,Germany,Stuttgart,2023-07-23,Churned,35-44,Paid Search
C00377,Netherlands,Eindhoven,2023-10-04,Regular,25-34,Organic
C00378,Switzerland,Zurich,2023-02-20,Regular,18-24,Social Media
C00379,France,Lyon,2023-01-16,Regular,45-54,Email
C00380,Netherlands,Utrecht,2023-10-11,Churned,45-54,Paid Search
C00381,France,Paris,2023-06-01,VIP,18-24,Organic
C00382,Austria,Vienna,2023-07-14,VIP,25-34,Email
C00383,Switzerland,Geneva,2023-02-24,New,35-44,Email
C00384,Switzerland,Geneva,2023-02-22,New,25-34,Email
C00385,Belgium,Ghent,2023-10-12,Regular,18-24,Organic
C00386,Germany,Munich,2023-10-11,New,55+,Social Media
C00387,France,Paris,2023-05-30,Regular,18-24,Referral
C00388,Netherlands,Rotterdam,2023-07-14,New,35-44,Social Media
C00389,Austria,Graz,2023-03-16,New,45-54,Social Media
C00390,France,Lyon,2023-09-05,VIP,35-44,Social Media
C00391,Netherlands,Eindhoven,2023-04-11,Regular,25-34,Social Media
C00392,Germany,Bremen,2023-06-20,VIP,45-54,Social Media
C00393,Belgium,Antwerp,2023-08-09,VIP,55+,Paid Search
C00394,Austria,Graz,2023-04-13,Regular,25-34,Email
C00395,Switzerland,Geneva,2023-09-09,Churned,25-34,Social Media
C00396,France,Lyon,2023-07-21,Regular,55+,Paid Search
C00397,Germany,Cologne,2023-10-09,New,45-54,Paid Search
C00398,Belgium,Antwerp,2023-02-05,VIP,45-54,Email
C00399,Germany,Cologne,2023-06-05,New,25-34,Email
C00400,France,Paris,2023-08-18,Churned,45-54,Referral
C00401,France,Marseille,2023-09-17,Churned,45-54,Referral
C00402,Germany,Stuttgart,2023-07-04,VIP,55+,Referral
C00403,Germany,Berlin,2023-05-08,Regular,35-44,Paid Search
C00404,Germany,Frankfurt,2023-07-24,Churned,35-44,Email
C00405,Germany,Berlin,2023-02-20,Regular,55+,Referral
C00406,Netherlands,Eindhoven,2023-07-11,Regular,55+,Referral
C00407,Germany,Munich,2023-01-13,Regular,35-44,Email
C00408,Germany,Berlin,2023-03-14,Regular,35-44,Email
C00409,Netherlands,Eindhoven,2023-06-28,Regular,45-54,Email
C00410,Switzerland,Zurich,2023-06-03,New,18-24,Organic
C00411,Switzerland,Basel,2023-02-25,Regular,25-34,Paid Search
C00412,Germany,Frankfurt,2023-03-23,Regular,45-54,Email
C00413,Netherlands,Eindhoven,2023-04-05,New,45-54,Email
C00414,Germany,Cologne,2023-04-12,Regular,45-54,Email
C00415,Germany,Cologne,2023-04-20,New,18-24,Referral
C00416,Germany,Stuttgart,2023-10-02,New,35-44,Paid Search
C00417,Belgium,Brussels,2023-05-15,Regular,45-54,Referral
C00418,Switzerland,Basel,2023-07-18,Regular,55+,Organic
C00419,Switzerland,Geneva,2023-08-23,Regular,35-44,Referral
C00420,Germany,Cologne,2023-03-10,Regular,25-34,Social Media
C00421,Germany,Hamburg,2023-07-11,Regular,55+,Email
C00422,France,Marseille,2023-03-12,Regular,45-54,Paid Search
C00423,Belgium,Ghent,2023-10-03,Regular,25-34,Referral
C00424,Germany,Bremen,2023-05-28,New,35-44,Email
C00425,Germany,Stuttgart,2023-07-03,Churned,45-54,Paid Search
C00426,Netherlands,Eindhoven,2023-10-15,Regular,45-54,Email
C00427,Belgium,Antwerp,2023-08-16,Regular,18-24,Referral
C00428,Germany,Stuttgart,2023-04-23,Regular,35-44,Paid Search
C00429,Austria,Vienna,2023-08-23,Regular,45-54,Referral
