order_id,customer_id,order_date,order_month,quarter,status,channel,order_total,country,segment
ORD000055,C00831,2023-07-23,2023-07,Q3,Completed,Phone,95.67,Belgium,Regular
ORD000056,C00267,2023-08-06,2023-08,Q3,Completed,Marketplace,98.82,Austria,VIP
ORD000057,C01399,2023-10-26,2023-10,Q4,Completed,Mobile App,124.72,Netherlands,VIP
ORD000058,C01589,2023-02-20,2023-02,Q1,Completed,Website,2166.32,Germany,VIP
ORD000059,C00727,2023-10-26,2023-10,Q4,Completed,Marketplace,359.05,Germany,Regular
ORD000060,C01433,2023-10-28,2023-10,Q4,Cancelled,Mobile App,831.17,Germany,Regular
ORD000061,C00625,2023-09-05,2023-09,Q3,Completed,Website,310.8,France,VIP
ORD000062,C01936,2023-11-30,2023-11,Q4,Cancelled,Mobile App,154.5,Belgium,Regular
ORD000063,C01298,2023-06-22,2023-06,Q2,Completed,Mobile App,790.58,Switzerland,New
ORD000064,C01745,2023-01-03,2023-01,Q1,Completed,Phone,1188.09,Germany,Regular
ORD000065,C00184,2023-06-29,2023-06,Q2,Completed,Phone,1132.97,Switzerland,VIP
ORD000066,C01314,2023-02-28,2023-02,Q1,Completed,Marketplace,21.41,Netherlands,Regular
ORD000067,C00134,2023-04-13,2023-04,Q2,Completed,Phone,449.48,Belgium,VIP
ORD000068,C00931,2023-04-25,2023-04,Q2,Completed,Marketplace,445.63,Germany,VIP
ORD000069,C00845,2023-11-28,2023-11,Q4,Completed,Phone,30.76,Netherlands,VIP
ORD000070,C01048,2023-05-13,2023-05,Q2,Completed,Marketplace,836.78,Netherlands,Regular
ORD000071,C00386,2023-05-20,2023-05,Q2,Completed,Marketplace,186.52,Germany,New
ORD000072,C01573,2023-03-15,2023-03,Q1,Completed,Mobile App,828.93,Switzerland,VIP
ORD000073,C01148,2023-11-18,2023-11,Q4,Completed,Marketplace,218.42,Germany,Churned
ORD000074,C00930,2023-06-23,2023-06,Q2,Completed,Marketplace,791.35,Switzerland,VIP
ORD000075,C00837,2023-06-12,2023-06,Q2,Completed,Phone,1074.24,France,VIP
ORD000076,C00951,2023-12-19,2023-12,Q4,Completed,Mobile App,128.14,Germany,Regular
ORD000077,C01388,2023-03-15,2023-03,Q1,Completed,Phone,463.17,Netherlands,Regular
ORD000078,C00408,2023-03-19,2023-03,Q1,Completed,Marketplace,359.11,Germany,Regular
ORD000079,C01554,2023-03-05,2023-03,Q1,Completed,Mobile App,1092.28,Belgium,New
ORD000080,C01998,2023-04-29,2023-04,Q2,Completed,Marketplace,349.94,Netherlands,Regular
ORD000081,C01639,2023-10-22,2023-10,Q4,Completed,Phone,908.6,Germany,VIP
ORD000082,C00488,2023-10-06,2023-10,Q4,Completed,Marketplace,1470.28,Belgium,VIP
ORD000083,C00772,2023-06-14,2023-06,Q2,Completed,Marketplace,583.9,Switzerland,Regular
ORD000084,C00798,2023-05-05,2023-05,Q2,Completed,Mobile App,159.08,Austria,New
ORD000085,C00863,2023-01-07,2023-01,Q1,Completed,Marketplace,805.88,Germany,Regular
ORD000086,C00717,2023-11-22,2023-11,Q4,Cancelled,Mobile App,440.66,Germany,Regular
ORD000087,C00526,2023-06-12,2023-06,Q2,Completed,Website,683.14,Switzerland,Regular
ORD000088,C00328,2023-09-22,2023-09,Q3,Completed,Marketplace,1449.15,Germany,Regular
ORD000089,C00983,2023-11-02,2023-11,Q4,Completed,Phone,52.53,Belgium,New
ORD000090,C01432,2023-11-24,2023-11,Q4,Completed,Phone,726.62,Germany,Regular
ORD000091,C01027,2023-02-07,2023-02,Q1,Cancelled,Website,2077.3,France,Regular
ORD000092,C00015,2023-06-07,2023-06,Q2,Completed,Marketplace,192.45,Netherlands,Regular
ORD000093,C00365,2023-02-10,2023-02,Q1,Completed,Website,16.53,Belgium,Regular
ORD000094,C01329,2023-02-03,2023-02,Q1,Completed,Phone,49.04,France,VIP
ORD000095,C01755,2023-01-19,2023-01,Q1,Completed,Website,607.5,France,VIP
ORD000096,C01516,2023-05-23,2023-05,Q2,Completed,Mobile App,75.51,Germany,Regular
ORD000097,C01302,2023-01-12,2023-01,Q1,Completed,Marketplace,742.89,Germany,Regular
ORD000098,C01370,2023-03-06,2023-03,Q1,Completed,Website,2422.05,Austria,Churned
ORD000099,C01299,2023-11-12,2023-11,Q4,Completed,Marketplace,23.93,Netherlands,Regular
ORD000100,C00571,2023-03-20,2023-03,Q1,Completed,Mobile App,370.75,Switzerland,Regular
ORD000101,C00132,2023-12-03,2023-12,Q4,Completed,Mobile App,410.06,Austria,New
ORD000102,C00576,2023-05-24,2023-05,Q2,Completed,Website,345.26,Netherlands,Regular
ORD000103,C01846,2023-11-25,2023-11,Q4,Completed,Phone,277.58,Belgium,Regular
ORD000104,C01780,2023-07-16,2023-07,Q3,Completed,Website,2911.52,France,Regular
ORD000105,C02000,2023-12-31,2023-12,Q4,Completed,Mobile App,1779.51,Austria,Regular
ORD000106,C00780,2023-03-09,2023-03,Q1,Completed,Mobile App,382.3,Austria,Regular
ORD000107,C01342,2023-01-01,2023-01,Q1,Completed,Marketplace,310.35,Germany,New
ORD000108,C01167,2023-10-28,2023-10,Q4,Completed,Mobile App,227.65,Belgium,Regular
ORD000109,C01943,2023-12-22,2023-12,Q4,Completed,Website,156.72,Austria,Regular
ORD000110,C00170,2023-09-14,2023-09,Q3,Completed,Phone,185.2,France,VIP
ORD000111,C00601,2023-12-19,2023-12,Q4,Completed,Marketplace,18.56,Switzerland,New
ORD000112,C00844,2023-12-22,2023-12,Q4,Completed,Marketplace,464.29,Switzerland,VIP
ORD000113,C01758,2023-11-17,2023-11,Q4,Completed,Phone,106.28,Germany,VIP
ORD000114,C01720,2023-02-09,2023-02,Q1,Returned,Mobile App,334.76,Germany,Regular
ORD000115,C01999,2023-11-10,2023-11,Q4,Completed,Marketplace,79.83,Switzerland,VIP
ORD000116,C00451,2023-11-27,2023-11,Q4,Completed,Marketplace,1225.04,Germany,VIP
ORD000117,C00372,2023-12-10,2023-12,Q4,Completed,Phone,922.53,Germany,New
ORD000118,C01245,2023-05-19,2023-05,Q2,Completed,Website,278.79,Germany,Regular
ORD000119,C00171,2023-12-01,2023-12,Q4,Completed,Marketplace,128.0,Netherlands,Regular
ORD000120,C01071,2023-04-25,2023-04,Q2,Completed,Mobile App,67.98,Switzerland,VIP
ORD000121,C01930,2023-04-08,2023-04,Q2,Completed,Mobile App,209.9,Austria,Regular
ORD000122,C00985,2023-06-29,2023-06,Q2,Completed,Mobile App,112.35,Austria,Regular
ORD000123,C01328,2023-05-05,2023-05,Q2,Returned,Mobile App,105.73,France,Regular
ORD000124,C01852,2023-08-15,2023-08,Q3,Cancelled,Phone,871.71,Austria,New
ORD000125,C00084,2023-08-21,2023-08,Q3,Returned,Website,506.69,France,Regular
ORD000126,C00500,2023-10-19,2023-10,Q4,Completed,Mobile App,1418.33,France,VIP
ORD000127,C00948,2023-12-26,2023-12,Q4,Completed,Mobile App,333.69,Austria,VIP
ORD000128,C00390,2023-12-19,2023-12,Q4,Completed,Phone,167.29,France,VIP
ORD000129,C00269,2023-07-07,2023-07,Q3,Completed,Mobile App,52.84,Belgium,Regular
ORD000130,C01299,2023-02-07,2023-02,Q1,Completed,Website,1110.05,Netherlands,Regular
ORD000131,C01924,2023-03-29,2023-03,Q1,Completed,Mobile App,191.94,Austria,Regular
ORD000132,C00138,2023-11-15,2023-11,Q4,Completed,Website,848.58,Netherlands,Regular
ORD000133,C00838,2023-05-29,2023-05,Q2,Completed,Website,191.76,Germany,VIP
ORD000134,C01237,2023-11-20,2023-11,Q4,Completed,Marketplace,260.98,Germany,New
ORD000135,C00163,2023-05-05,2023-05,Q2,Completed,Phone,1720.01,France,VIP
ORD000136,C01207,2023-11-30,2023-11,Q4,Completed,Mobile App,611.03,Switzerland,VIP
ORD000137,C00834,2023-09-02,2023-09,Q3,Completed,Website,2099.4,Germany,Regular
ORD000138,C01022,2023-10-22,2023-10,Q4,Completed,Phone,961.33,Belgium,Regular
ORD000139,C00320,2023-01-29,2023-01,Q1,Completed,Phone,75.51,Germany,Regular
ORD000140,C00855,2023-03-23,2023-03,Q1,Completed,Mobile App,33.25,Germany,New
ORD000141,C01511,2023-11-11,2023-11,Q4,Completed,Phone,280.16,Switzerland,New
ORD000142,C00773,2023-01-23,2023-01,Q1,Returned,Website,23.93,Switzerland,Regular
ORD000143,C01149,2023-07-30,2023-07,Q3,Completed,Website,92.6,Germany,Regular
ORD000144,C01510,2023-02-28,2023-02,Q1,Completed,Phone,479.55,France,VIP
ORD000145,C00327,2023-04-05,2023-04,Q2,Completed,Phone,99.4,Belgium,VIP
ORD000146,C00605,2023-12-22,2023-12,Q4,Completed,Mobile App,469.68,Germany,Regular
ORD000147,C00210,2023-06-22,2023-06,Q2,Completed,Mobile App,2221.17,Germany,VIP
ORD000148,C01164,2023-05-20,2023-05,Q2,Completed,Phone,145.88,France,VIP
ORD000149,C00729,2023-11-29,2023-11,Q4,Completed,Marketplace,145.41,Germany,Regular
ORD000150,C01145,2023-08-07,2023-08,Q3,Completed,Mobile App,30.38,Austria,New
ORD000151,C01786,2023-08-31,2023-08,Q3,Completed,Website,729.52,Netherlands,VIP
ORD000152,C01211,2023-03-23,2023-03,Q1,Completed,Website,35.05,Germany,Regular
ORD000153,C00169,2023-04-24,2023-04,Q2,Completed,Mobile App,1350.0,Switzerland,New
ORD000154,C01165,2023-10-10,2023-10,Q4,Completed,Mobile App,1363.9,Belgium,Regular
ORD000155,C01929,2023-12-24,2023-12,Q4,Completed,Marketplace,1393.89,France,VIP
ORD000156,C01108,2023-11-09,2023-11,Q4,Completed,Phone,699.39,Germany,Regular
ORD000157,C01880,2023-05-09,2023-05,Q2,Completed,Website,818.36,Austria,Churned
ORD000158,C01996,2023-11-24,2023-11,Q4,Completed,Marketplace,101.99,Switzerland,VIP
ORD000159,C01143,2023-04-21,2023-04,Q2,Completed,Website,139.72,France,New
ORD000160,C01556,2023-08-12,2023-08,Q3,Completed,Website,1007.27,France,Regular
ORD000161,C01152,2023-09-04,2023-09,Q3,Completed,Phone,249.21,France,VIP
ORD000162,C00024,2023-12-13,2023-12,Q4,Completed,Website,104.56,Germany,New
ORD000163,C01186,2023-02-01,2023-02,Q1,Completed,Phone,461.56,France,Regular
ORD000164,C01504,2023-08-13,2023-08,Q3,Completed,Website,209.12,Germany,Regular
ORD000165,C01033,2023-09-15,2023-09,Q3,Completed,Marketplace,249.07,Germany,Regular
ORD000166,C01035,2023-09-05,2023-09,Q3,Completed,Phone,33.42,Germany,VIP
ORD000167,C01646,2023-01-27,2023-01,Q1,Completed,Phone,17.81,Germany,Regular
ORD000168,C01864,2023-10-24,2023-10,Q4,Completed,Marketplace,52.55,Germany,New
ORD000169,C01708,2023-03-03,2023-03,Q1,Completed,Mobile App,54.29,Switzerland,Regular
ORD000170,C01601,2023-06-26,2023-06,Q2,Completed,Phone,231.75,Austria,Regular
ORD000171,C00698,2023-12-18,2023-12,Q4,Returned,Website,963.9,Germany,Regular
ORD000172,C00151,2023-08-30,2023-08,Q3,Completed,Phone,504.84,Germany,Regular
ORD000173,C00233,2023-04-21,2023-04,Q2,Completed,Mobile App,33.25,Belgium,VIP
ORD000174,C00412,2023-05-07,2023-05,Q2,Completed,Marketplace,165.62,Germany,Regular
ORD000175,C01216,2023-12-04,2023-12,Q4,Completed,Phone,2338.17,France,Regular
ORD000176,C00461,2023-11-07,2023-11,Q4,Completed,Website,149.07,France,Regular
ORD000177,C01202,2023-08-29,2023-08,Q3,Completed,Mobile App,170.48,Germany,VIP
ORD000178,C00357,2023-03-23,2023-03,Q1,Completed,Phone,135.5,Netherlands,Regular
ORD000179,C00636,2023-02-13,2023-02,Q1,Completed,Phone,67.75,Netherlands,Regular
ORD000180,C01346,2023-06-27,2023-06,Q2,Completed,Phone,570.7,Austria,Regular
ORD000181,C01263,2023-02-23,2023-02,Q1,Completed,Mobile App,741.5,Germany,Churned
ORD000182,C01588,2023-02-02,2023-02,Q1,Completed,Phone,626.38,Switzerland,Regular
ORD000183,C01357,2023-06-18,2023-06,Q2,Cancelled,Marketplace,769.37,Austria,Regular
ORD000184,C01320,2023-06-28,2023-06,Q2,Completed,Mobile App,926.19,Belgium,VIP
ORD000185,C00706,2023-01-15,2023-01,Q1,Completed,Marketplace,367.47,Germany,New
ORD000186,C01000,2023-04-13,2023-04,Q2,Completed,Website,35.02,Netherlands,New
ORD000187,C00555,2023-03-24,2023-03,Q1,Completed,Website,830.88,Germany,Regular
ORD000188,C00813,2023-08-09,2023-08,Q3,Completed,Website,592.51,Germany,VIP
ORD000189,C01572,2023-01-01,2023-01,Q1,Completed,Website,426.86,Austria,Regular
ORD000190,C01320,2023-01-09,2023-01,Q1,Completed,Marketplace,431.06,Belgium,VIP
ORD000191,C01234,2023-12-10,2023-12,Q4,Completed,Website,1415.1,France,Regular
ORD000192,C00527,2023-05-25,2023-05,Q2,Completed,Phone,58.37,Germany,Churned
ORD000193,C00008,2023-11-29,2023-11,Q4,Completed,Website,1173.25,Germany,Regular
ORD000194,C01927,2023-10-31,2023-10,Q4,Completed,Phone,117.12,Austria,VIP
ORD000195,C01386,2023-09-18,2023-09,Q3,Completed,Mobile App,1338.69,Germany,Regular
ORD000196,C00702,2023-08-13,2023-08,Q3,Completed,Mobile App,424.01,Germany,VIP
ORD000197,C01934,2023-03-29,2023-03,Q1,Completed,Website,159.01,Switzerland,VIP
ORD000198,C00465,2023-12-05,2023-12,Q4,Completed,Phone,2587.89,Austria,VIP
ORD000199,C01441,2023-11-14,2023-11,Q4,Completed,Website,37.48,Belgium,Regular
ORD000200,C00541,2023-06-19,2023-06,Q2,Returned,Phone,129.07,Austria,New
ORD000201,C00627,2023-08-23,2023-08,Q3,Returned,Phone,1215.0,France,VIP
ORD000202,C00639,2023-12-24,2023-12,Q4,Completed,Website,1343.16,Germany,VIP
ORD000203,C01585,2023-06-19,2023-06,Q2,Completed,Mobile App,969.87,France,VIP
ORD000204,C01674,2023-04-11,2023-04,Q2,Completed,Mobile App,1578.11,Germany,VIP
ORD000205,C01800,2023-01-18,2023-01,Q1,Completed,Phone,170.15,Germany,Regular
ORD000206,C01869,2023-02-11,2023-02,Q1,Completed,Website,89.13,Belgium,VIP
ORD000207,C00231,2023-09-13,2023-09,Q3,Completed,Marketplace,167.38,Netherlands,VIP
ORD000208,C00661,2023-02-26,2023-02,Q1,Completed,Mobile App,205.58,France,VIP
ORD000209,C01387,2023-08-05,2023-08,Q3,Completed,Mobile App,303.11,Netherlands,New
ORD000210,C00209,2023-06-28,2023-06,Q2,Completed,Phone,182.0,Switzerland,Regular
ORD000211,C00714,2023-11-26,2023-11,Q4,Completed,Website,234.9,Germany,Regular
ORD000212,C00945,2023-10-25,2023-10,Q4,Completed,Phone,571.56,Germany,Regular
ORD000213,C01063,2023-01-13,2023-01,Q1,Completed,Mobile App,655.18,Belgium,New
ORD000214,C01969,2023-02-26,2023-02,Q1,Completed,Marketplace,880.7,Germany,Regular
ORD000215,C00233,2023-05-06,2023-05,Q2,Completed,Marketplace,38.74,Belgium,VIP
ORD000216,C00999,2023-08-25,2023-08,Q3,Completed,Mobile App,905.31,Germany,VIP
ORD000217,C00510,2023-04-08,2023-04,Q2,Completed,Marketplace,111.14,Netherlands,VIP
ORD000218,C01061,2023-06-30,2023-06,Q2,Completed,Marketplace,42.27,Germany,Regular
ORD000219,C01558,2023-01-02,2023-01,Q1,Cancelled,Phone,230.82,Belgium,New
ORD000220,C01258,2023-05-28,2023-05,Q2,Completed,Marketplace,2104.18,Germany,VIP
ORD000221,C01049,2023-01-24,2023-01,Q1,Returned,Marketplace,218.42,Germany,Regular
ORD000222,C00522,2023-10-26,2023-10,Q4,Completed,Mobile App,83.9,Germany,VIP
ORD000223,C01895,2023-12-20,2023-12,Q4,Completed,Marketplace,313.6,Germany,Regular
ORD000224,C00885,2023-10-01,2023-10,Q4,Completed,Phone,459.84,Germany,VIP
ORD000225,C00278,2023-06-16,2023-06,Q2,Completed,Phone,93.88,France,VIP
ORD000226,C00660,2023-05-13,2023-05,Q2,Completed,Phone,687.08,Germany,New
ORD000227,C01449,2023-04-24,2023-04,Q2,Completed,Phone,1737.21,Austria,Regular
ORD000228,C01638,2023-12-09,2023-12,Q4,Completed,Mobile App,220.54,Germany,Regular
ORD000229,C01390,2023-01-21,2023-01,Q1,Cancelled,Phone,626.47,Germany,Regular
ORD000230,C00643,2023-03-17,2023-03,Q1,Completed,Website,224.55,Switzerland,Regular
ORD000231,C01400,2023-12-17,2023-12,Q4,Completed,Phone,1019.59,Germany,New
ORD000232,C01647,2023-04-08,2023-04,Q2,Completed,Marketplace,604.88,Netherlands,Regular
ORD000233,C01942,2023-04-20,2023-04,Q2,Completed,Website,237.14,Switzerland,VIP
ORD000234,C00743,2023-10-27,2023-10,Q4,Completed,Phone,796.85,Germany,VIP
ORD000235,C01550,2023-05-24,2023-05,Q2,Completed,Mobile App,1049.83,Austria,Regular
ORD000236,C01113,2023-05-23,2023-05,Q2,Completed,Website,71.56,Austria,Regular
ORD000237,C00514,2023-11-29,2023-11,Q4,Completed,Phone,66.5,Germany,Regular
ORD000238,C01916,2023-07-10,2023-07,Q3,Completed,Marketplace,117.44,France,Regular
ORD000239,C01104,2023-06-18,2023-06,Q2,Completed,Marketplace,661.34,Germany,Regular
ORD000240,C00143,2023-10-30,2023-10,Q4,Completed,Website,1202.65,Germany,Regular
ORD000241,C01879,2023-12-29,2023-12,Q4,Returned,Mobile App,608.38,Germany,Regular
ORD000242,C00826,2023-12-20,2023-12,Q4,Completed,Marketplace,321.04,Switzerland,Regular
ORD000243,C01511,2023-04-01,2023-04,Q2,Completed,Marketplace,682.52,Switzerland,New
ORD000244,C00707,2023-06-23,2023-06,Q2,Completed,Marketplace,77.74,Germany,Regular
ORD000245,C00390,2023-04-07,2023-04,Q2,Returned,Website,1249.24,France,VIP
ORD000246,C00038,2023-03-27,2023-03,Q1,Completed,Mobile App,1456.45,Germany,Regular
ORD000247,C01213,2023-11-08,2023-11,Q4,Completed,Phone,1839.19,Germany,VIP
ORD000248,C01295,2023-09-28,2023-09,Q3,Completed,Marketplace,474.01,Switzerland,New
ORD000249,C01932,2023-03-19,2023-03,Q1,Completed,Phone,83.9,Germany,New
ORD000250,C01508,2023-11-18,2023-11,Q4,Completed,Marketplace,61.99,Switzerland,VIP
ORD000251,C01660,2023-03-31,2023-03,Q1,Completed,Marketplace,234.21,Germany,Regular
ORD000252,C01465,2023-05-01,2023-05,Q2,Completed,Mobile App,2297.27,Germany,VIP
ORD000253,C00945,2023-10-17,2023-10,Q4,Completed,Marketplace,794.85,Germany,Regular
ORD000254,C00293,2023-01-14,2023-01,Q1,Completed,Website,225.82,Netherlands,Regular
ORD000255,C00054,2023-12-23,2023-12,Q4,Completed,Phone,267.39,Switzerland,VIP
ORD000256,C00011,2023-12-20,2023-12,Q4,Completed,Marketplace,26.32,Germany,Regular
ORD000257,C00505,2023-10-17,2023-10,Q4,Completed,Marketplace,419.88,Germany,VIP
ORD000258,C00764,2023-03-26,2023-03,Q1,Completed,Marketplace,59.53,Germany,Regular
ORD000259,C00613,2023-01-18,2023-01,Q1,Completed,Website,94.3,Germany,Regular
ORD000260,C00852,2023-08-21,2023-08,Q3,Completed,Website,247.01,Switzerland,Regular
ORD000261,C00698,2023-01-20,2023-01,Q1,Completed,Phone,65.12,Germany,Regular
ORD000262,C01411,2023-05-29,2023-05,Q2,Completed,Mobile App,100.09,Belgium,VIP
ORD000263,C00299,2023-06-28,2023-06,Q2,Cancelled,Marketplace,220.95,Germany,Regular
ORD000264,C01669,2023-01-31,2023-01,Q1,Completed,Website,389.97,Germany,New
ORD000265,C00238,2023-05-17,2023-05,Q2,Completed,Mobile App,1659.02,France,Regular
ORD000266,C01029,2023-01-26,2023-01,Q1,Completed,Mobile App,343.25,Belgium,VIP
ORD000267,C01593,2023-06-02,2023-06,Q2,Completed,Phone,1646.75,Germany,Regular
ORD000268,C01920,2023-09-16,2023-09,Q3,Completed,Phone,64.36,France,Regular
ORD000269,C00705,2023-05-23,2023-05,Q2,Completed,Website,1198.35,Germany,Regular
ORD000270,C01742,2023-01-22,2023-01,Q1,Returned,Mobile App,168.04,Germany,Regular
ORD000271,C00560,2023-10-22,2023-10,Q4,Completed,Marketplace,169.64,France,Regular
ORD000272,C00500,2023-05-20,2023-05,Q2,Completed,Marketplace,479.55,France,VIP
ORD000273,C00244,2023-02-01,2023-02,Q1,Completed,Website,525.25,Germany,New
ORD000274,C00185,2023-12-11,2023-12,Q4,Completed,Marketplace,916.36,France,Regular
ORD000275,C00717,2023-12-05,2023-12,Q4,Completed,Mobile App,109.52,Germany,Regular
ORD000276,C00017,2023-11-27,2023-11,Q4,Returned,Website,214.89,Germany,VIP
ORD000277,C01310,2023-04-25,2023-04,Q2,Returned,Phone,654.8,Austria,VIP
ORD000278,C01390,2023-02-24,2023-02,Q1,Returned,Website,2368.92,Germany,Regular
ORD000279,C00103,2023-02-13,2023-02,Q1,Completed,Website,227.27,Belgium,New
ORD000280,C00411,2023-04-10,2023-04,Q2,Completed,Website,1381.02,Switzerland,Regular
ORD000281,C00518,2023-01-27,2023-01,Q1,Completed,Mobile App,25.19,Netherlands,Regular
ORD000282,C01355,2023-05-29,2023-05,Q2,Completed,Mobile App,64.58,Austria,Regular
ORD000283,C01671,2023-12-15,2023-12,Q4,Completed,Marketplace,410.88,France,Regular
ORD000284,C01257,2023-12-03,2023-12,Q4,Completed,Mobile App,343.4,Germany,Regular
ORD000285,C00298,2023-11-01,2023-11,Q4,Completed,Phone,607.5,Germany,Regular
ORD000286,C01785,2023-08-08,2023-08,Q3,Completed,Mobile App,323.88,Switzerland,Regular
ORD000287,C00651,2023-11-28,2023-11,Q4,Completed,Website,27.41,Switzerland,Regular
ORD000288,C00451,2023-03-30,2023-03,Q1,Completed,Website,8.78,Germany,VIP
ORD000289,C01649,2023-12-05,2023-12,Q4,Cancelled,Website,61.7,Austria,Regular
ORD000290,C01222,2023-06-27,2023-06,Q2,Completed,Website,172.22,Austria,Regular
ORD000291,C01538,2023-08-04,2023-08,Q3,Completed,Website,840.38,Austria,New
ORD000292,C01647,2023-03-21,2023-03,Q1,Completed,Phone,60.83,Netherlands,Regular
ORD000293,C01757,2023-12-02,2023-12,Q4,Completed,Mobile App,832.77,Switzerland,Regular
ORD000294,C00862,2023-02-04,2023-02,Q1,Completed,Phone,459.84,Netherlands,New
ORD000295,C00278,2023-10-03,2023-10,Q4,Cancelled,Marketplace,1761.77,France,VIP
